Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1996-12-16,15.2,15.35,15.08,15.17,4.78,1228124,0.0,0.0
1996-12-17,15.06,15.1,14.8,14.93,4.71,1102856,0.0,0.0
1996-12-18,14.98,15.27,14.96,15.17,4.78,967364,0.0,0.0
1996-12-19,15.11,15.2,14.86,15.06,4.75,1249598,0.0,0.0
1996-12-20,15.24,15.35,14.88,14.88,4.69,1239882,0.0,0.0
1996-12-23,15.0,15.06,14.75,14.88,4.69,351768,0.0,0.0
1996-12-27,14.96,15.13,14.96,15.11,4.76,254624,0.0,0.0
1996-12-30,15.06,15.15,14.94,15.12,4.77,509246,0.0,0.0
1997-01-02,14.9,15.03,14.48,14.57,4.59,1449512,0.0,0.0
1997-01-03,14.67,15.06,14.67,15.03,4.74,1002644,0.0,0.0
1997-01-06,15.23,15.35,14.85,14.96,4.71,1754242,0.0,0.0
1997-01-07,14.88,14.93,14.42,14.44,4.55,2714960,0.0,0.0
1997-01-08,14.51,14.59,14.28,14.37,4.53,2273204,0.0,0.0
1997-01-10,14.79,14.86,14.53,14.72,4.64,1866216,0.0,0.0
1997-01-13,14.85,15.13,14.85,15.08,4.75,1481724,0.0,0.0
1997-01-14,15.08,15.22,15.0,15.21,4.79,1633578,0.0,0.0
1997-01-15,15.31,15.62,15.31,15.42,4.86,2083514,0.0,0.0
1997-01-16,15.35,15.39,14.99,15.27,4.81,1618750,0.0,0.0
1997-01-17,15.4,15.44,15.11,15.25,4.81,1176994,0.0,0.0
1997-01-20,15.34,15.4,14.97,14.97,4.72,1488370,0.0,0.0
1997-01-22,15.08,15.34,15.03,15.32,4.83,8721106,0.0,0.0
1997-01-23,15.33,15.39,15.12,15.37,4.84,1227612,0.0,0.0
1997-01-24,15.31,15.31,15.09,15.18,4.79,1334472,0.0,0.0
1997-01-27,15.2,15.27,15.07,15.09,4.76,1534386,0.0,0.0
1997-01-28,15.15,15.4,15.03,15.36,4.84,1713340,0.0,0.0
1997-01-29,15.19,15.59,15.19,15.26,4.81,1569154,0.0,0.0
1997-01-30,15.29,15.35,15.13,15.2,4.79,1063488,0.0,0.0
1997-01-31,15.27,15.3,15.01,15.07,4.75,795058,0.0,0.0
1997-02-03,15.15,15.15,14.93,15.1,4.76,1053262,0.0,0.0
1997-02-04,15.2,15.29,15.16,15.17,4.78,1314020,0.0,0.0
1997-02-05,15.27,15.61,15.27,15.48,4.88,2865280,0.0,0.0
1997-02-07,15.72,16.0,15.72,15.97,5.03,896294,0.0,0.0
1997-02-10,15.93,16.16,15.77,16.07,5.07,1624374,0.0,0.0
1997-02-11,16.11,16.2,16.02,16.15,5.09,1399918,0.0,0.0
1997-02-13,16.26,16.31,15.96,16.25,5.12,1941886,0.0,0.0
1997-02-14,16.26,16.35,16.08,16.14,5.09,1314532,0.0,0.0
1997-02-17,16.16,16.22,16.03,16.21,5.11,1528252,0.0,0.0
1997-02-18,16.23,16.51,16.23,16.31,5.14,2225142,0.0,0.0
1997-02-20,16.16,16.16,15.97,16.06,5.06,1116662,0.0,0.0
1997-02-21,15.93,15.98,15.74,15.92,5.02,1876952,0.0,0.0
1997-02-24,15.85,15.86,15.68,15.76,4.97,880444,0.0,0.0
1997-02-25,15.81,15.97,15.81,15.93,5.02,1447468,0.0,0.0
1997-02-26,15.91,15.95,15.73,15.87,5.0,1005712,0.0,0.0
1997-02-27,15.85,16.15,15.85,16.05,5.06,1350322,0.0,0.0
1997-02-28,16.0,16.04,15.88,15.93,5.02,986794,0.0,0.0
1997-03-03,15.94,16.09,15.86,15.93,5.02,818578,0.0,0.0
1997-03-04,16.11,16.48,16.08,16.39,5.17,2225142,0.0,0.0
1997-03-05,16.32,16.5,16.28,16.42,5.17,4260084,0.0,0.0
1997-03-06,16.54,16.67,16.39,16.44,5.18,2011422,0.0,0.0
1997-03-07,16.46,16.51,16.23,16.47,5.19,1554328,0.0,0.0
1997-03-10,16.56,16.97,16.54,16.86,5.31,2340182,0.0,0.0
1997-03-11,16.91,17.2,16.54,16.56,5.22,2906184,0.0,0.0
1997-03-12,16.58,16.71,16.17,16.21,5.11,2622928,0.0,0.0
1997-03-13,16.16,16.41,16.06,16.39,5.17,2136178,0.0,0.0
1997-03-14,16.22,16.56,16.13,16.44,5.18,1781340,0.0,0.0
1997-03-17,16.39,16.48,16.13,16.31,5.14,1240394,0.0,0.0
1997-03-18,16.36,16.67,15.74,15.83,4.99,2904650,0.0,0.0
1997-03-19,15.91,16.11,15.9,15.98,5.04,1337540,0.0,0.0
1997-03-20,15.98,15.98,15.38,15.59,4.92,2035964,0.0,0.0
1997-03-21,15.85,15.98,15.68,15.85,5.0,1985346,0.0,0.0
1997-03-24,15.93,16.16,15.88,15.92,5.02,998554,0.0,0.0
1997-03-25,16.0,16.22,16.0,16.18,5.1,933618,0.0,0.0
1997-03-26,16.11,16.55,16.08,16.53,5.21,1526718,0.0,0.0
1997-03-27,16.51,16.51,16.02,16.02,5.05,478570,0.0,0.0
1997-04-01,15.52,15.72,15.26,15.5,4.89,1732256,0.0,0.0
1997-04-02,15.62,15.85,15.02,15.26,4.81,1893314,0.0,0.0
1997-04-03,15.35,16.08,15.1,16.08,5.07,3335156,0.0,0.0
1997-04-04,16.21,16.4,15.93,16.17,5.1,2172480,0.0,0.0
1997-04-07,16.34,17.0,16.34,16.9,5.33,2305926,0.0,0.0
1997-04-08,16.99,17.03,16.65,16.8,5.3,1445934,0.0,0.0
1997-04-09,16.9,17.03,16.81,16.97,5.35,1596254,0.0,0.0
1997-04-10,16.97,17.0,16.67,16.83,5.31,1334472,0.0,0.0
1997-04-11,16.87,17.14,16.74,16.87,5.32,1649938,0.0,0.0
1997-04-14,16.6,16.84,16.54,16.71,5.27,1268004,0.0,0.0
1997-04-15,16.83,17.13,16.76,17.12,5.4,1601366,0.0,0.0
1997-04-17,17.27,17.33,17.13,17.14,5.4,1514446,0.0,0.0
1997-04-18,17.05,17.14,16.86,17.14,5.4,883512,0.0,0.0
1997-04-21,17.04,17.4,16.74,17.26,5.44,1250620,0.0,0.0
1997-04-22,17.26,17.38,17.05,17.13,5.4,1081894,0.0,0.0
1997-04-23,17.33,17.38,17.09,17.12,5.4,536346,0.0,0.0
1997-04-24,17.18,17.32,17.1,17.16,5.41,604348,0.0,0.0
1997-04-25,17.08,16.96,16.76,16.77,5.29,461696,0.0,0.0
1997-04-28,17.08,17.12,16.74,16.82,5.3,714786,0.0,0.0
1997-04-29,16.91,17.0,16.77,16.97,5.35,2591228,0.0,0.0
1997-04-30,17.13,17.35,16.92,17.33,5.46,1851900,0.0,0.0
1997-05-02,17.38,17.68,17.36,17.66,5.57,666214,0.0,0.0
1997-05-05,17.74,17.9,17.61,17.79,5.61,2397448,0.0,0.0
1997-05-06,17.94,17.97,17.4,17.46,5.5,2191908,0.0,0.0
1997-05-07,17.46,17.59,17.31,17.49,5.51,1563020,0.0,0.0
1997-05-09,17.45,17.51,17.13,17.19,5.42,1712316,0.0,0.0
1997-05-12,17.2,17.44,17.2,17.41,5.49,1561996,0.0,0.0
1997-05-13,17.45,17.5,17.18,17.19,5.42,1873884,0.0,0.0
1997-05-14,17.19,17.47,17.19,17.31,5.46,1608012,0.0,0.0
1997-05-15,17.31,17.38,16.69,16.71,5.27,3108654,0.0,0.0
1997-05-16,16.77,16.95,16.72,16.81,5.3,1473544,0.0,0.0
1997-05-20,16.55,16.55,15.88,16.14,5.09,2414832,0.0,0.0
1997-05-21,16.33,16.6,16.33,16.57,5.22,1593696,0.0,0.0
1997-05-22,16.55,16.71,16.2,16.2,5.11,1352368,0.0,0.0
1997-05-23,16.28,16.52,16.41,16.49,5.2,460162,0.0,0.0
1997-05-26,16.51,16.95,16.43,16.91,5.33,1076270,0.0,0.0
1997-05-27,16.95,17.09,16.44,16.48,5.19,1155520,0.0,0.0
1997-05-28,16.51,16.54,16.31,16.32,5.15,446358,0.0,0.0
1997-05-29,16.36,16.46,16.34,16.36,5.16,57264,0.0,0.0
1997-05-30,16.34,16.39,16.03,16.08,5.07,1326292,0.0,0.0
1997-06-02,15.98,16.59,15.9,16.46,5.19,1900984,0.0,0.0
1997-06-03,16.51,16.62,16.41,16.59,5.23,1107458,0.0,0.0
1997-06-04,16.62,16.74,16.44,16.54,5.21,1233236,0.0,0.0
1997-06-05,16.49,16.58,16.44,16.52,5.21,634002,0.0,0.0
1997-06-06,16.55,16.68,16.48,16.55,5.22,1464340,0.0,0.0
1997-06-09,16.64,16.82,16.51,16.57,5.22,1072690,0.0,0.0
1997-06-10,16.36,16.4,16.2,16.4,5.17,336430,0.0,0.0
1997-06-11,16.41,16.43,16.24,16.31,5.14,625822,0.0,0.0
1997-06-12,16.39,16.64,16.36,16.62,5.24,1347766,0.0,0.0
1997-06-13,16.67,16.71,16.57,16.62,5.24,927484,0.0,0.0
1997-06-16,16.62,16.83,16.54,16.6,5.23,971454,0.0,0.0
1997-06-17,16.62,16.67,16.18,16.25,5.12,915212,0.0,0.0
1997-06-18,16.21,16.34,16.13,16.29,5.13,657522,0.0,0.0
1997-06-19,16.34,16.51,16.23,16.44,5.18,1079848,0.0,0.0
1997-06-20,16.48,16.53,16.19,16.32,5.15,977590,0.0,0.0
1997-06-23,16.23,16.26,15.98,16.04,5.06,1256756,0.0,0.0
1997-06-24,15.88,16.2,15.72,16.07,5.06,1262890,0.0,0.0
1997-06-25,16.16,16.48,16.08,16.35,5.15,1527740,0.0,0.0
1997-06-26,16.31,16.48,16.11,16.11,5.08,1332426,0.0,0.0
1997-06-27,16.11,16.32,16.02,16.32,5.14,1163700,0.0,0.0
1997-06-30,16.46,16.57,16.2,16.23,5.12,1540012,0.0,0.0
1997-07-01,16.34,17.02,16.32,16.85,5.31,3208868,0.0,0.0
1997-07-02,16.82,17.14,16.73,16.9,5.33,2559528,0.0,0.0
1997-07-03,16.95,17.08,16.67,16.96,5.35,1698512,0.0,0.0
1997-07-04,17.03,17.03,16.74,16.88,5.32,1071668,0.0,0.0
1997-07-07,16.9,17.03,16.87,16.95,5.34,495954,0.0,0.0
1997-07-08,16.92,17.29,16.86,17.26,5.44,1530808,0.0,0.0
1997-07-09,17.33,17.51,17.01,17.13,5.4,1586028,0.0,0.0
1997-07-10,17.11,17.33,16.91,17.1,5.39,897828,0.0,0.0
1997-07-11,17.2,17.32,17.04,17.22,5.43,1128932,0.0,0.0
1997-07-14,17.36,17.54,17.27,17.42,5.49,1381510,0.0,0.0
1997-07-15,17.51,17.68,17.35,17.61,5.55,1977676,0.0,0.0
1997-07-16,17.69,18.24,17.69,18.24,5.75,3289652,0.0,0.0
1997-07-17,18.28,18.64,17.92,18.21,5.74,2491014,0.0,0.0
1997-07-18,18.15,18.15,17.82,17.9,5.64,1392760,0.0,0.0
1997-07-21,18.02,18.2,17.0,17.43,5.5,1965406,0.0,0.0
1997-07-22,17.54,17.93,17.52,17.92,5.65,1725098,0.0,0.0
1997-07-23,18.15,18.43,17.95,18.14,5.72,2180148,0.0,0.0
1997-07-24,18.25,18.53,18.07,18.07,5.7,1673970,0.0,0.0
1997-07-25,18.25,18.3,17.69,17.97,5.67,1331404,0.0,0.0
1997-07-28,18.2,18.53,18.02,18.53,5.84,2340694,0.0,0.0
1997-07-29,18.41,18.46,18.06,18.2,5.74,685132,0.0,0.0
1997-07-30,18.34,18.43,18.23,18.36,5.79,1054284,0.0,0.0
1997-07-31,18.41,18.43,17.96,18.02,5.68,1486836,0.0,0.0
1997-08-01,18.05,18.28,17.51,17.68,5.57,1499108,0.0,0.0
1997-08-04,17.83,18.11,17.78,17.88,5.64,1138136,0.0,0.0
1997-08-05,17.96,18.3,17.96,18.3,5.77,1345720,0.0,0.0
1997-08-06,18.38,18.48,18.25,18.47,5.82,1349902,0.0,0.0
1997-08-07,18.53,18.7,18.38,18.5,5.83,1237326,0.0,0.0
1997-08-08,18.36,18.52,17.98,18.07,5.7,1115638,0.0,0.0
1997-08-11,17.9,18.41,17.77,18.37,5.79,1030764,0.0,0.0
1997-08-12,18.43,19.11,18.42,19.09,6.02,2063574,0.0,0.0
1997-08-13,18.82,18.98,18.18,18.28,5.76,2627018,0.0,0.0
1997-08-14,18.28,18.5,17.24,17.33,5.46,3233410,0.0,0.0
1997-08-15,17.36,17.53,16.59,16.63,5.24,2555436,0.0,0.0
1997-08-18,16.23,16.92,16.02,16.86,5.31,3090248,0.0,0.0
1997-08-19,17.25,17.61,17.05,17.26,5.44,2086070,0.0,0.0
1997-08-20,17.49,17.64,17.28,17.33,5.46,376310,0.0,0.0
1997-08-21,17.13,17.18,16.49,16.72,5.27,6691788,0.0,0.0
1997-08-22,16.36,16.71,16.34,16.58,5.23,2830512,0.0,0.0
1997-08-25,17.06,17.11,17.06,17.11,5.39,53174,0.0,0.0
